Age,Annual_Income,Monthly_Expenses,Savings_Rate,Debt_to_Income_Ratio,Current_Investments_Value,Total_Loan_Amount,Avg_Credit_Score,Inflation_Rate,Interest_Rate,Years_of_Employment,Job_Stability_Score,Emergency_Fund_Value,Retirement_Fund_Contribution,Customer_Segment,Future_Balance
42.0,1384801.7,54217.19,0.07,0.13,3633161.69,427227.31,732.0,6.82,8.65,6.5,0.29,382630.8,191609.42,Bronze,4118881.17
28.0,893592.54,40947.1,0.14,,2098174.43,418171.68,711.0,6.67,6.55,0.7,0.19,187147.08,85214.01,Gold,2529893.9
,787255.8,34027.89,0.57,0.28,2858529.09,315361.16,747.0,7.08,5.58,5.7,0.29,231945.59,97027.97,Silver,3584899.42
44.0,1128503.76,60877.32,0.18,0.43,1908042.45,678606.31,673.0,6.12,7.56,6.0,0.35,116484.9,58232.77,Gold,2459034.52
31.0,1003653.34,50190.4,0.42,0.33,1641769.44,799926.33,705.0,5.06,7.92,14.2,0.24,395024.61,101056.22,Silver,2285184.57
42.0,1359089.51,68170.34,0.05,0.11,1349631.76,963097.97,691.0,7.81,7.61,11.6,0.47,330444.91,163653.82,Gold,1695696.07
41.0,1508667.85,54340.94,0.21,0.41,2763810.72,758042.8,640.0,5.35,10.37,4.8,0.3,138089.07,202717.67,Silver,3225426.28
29.0,1017593.69,42367.13,0.36,0.12,1710228.71,425612.24,742.0,4.31,7.04,0.0,0.04,136655.05,98047.15,Silver,2391827.0
44.0,1011397.03,27854.96,0.5,0.27,2223998.79,1727339.92,709.0,6.57,7.47,6.0,0.28,169926.6,100493.34,Gold,3009501.19
46.0,,32790.76,0.26,0.61,3240540.18,326806.42,657.0,5.72,8.61,,0.33,143921.48,54894.47,Bronze,3649981.4
51.0,,39020.7,0.18,0.15,2732878.28,220742.04,692.0,4.35,8.02,0.0,0.04,165652.76,68272.26,Gold,3215528.89
51.0,920082.2,31280.94,0.53,0.27,2346811.28,234658.02,655.0,5.35,8.1,0.0,0.11,137587.29,51632.4,Silver,3110400.45
,899780.97,47104.43,0.26,0.22,3568609.42,381310.47,676.0,7.29,6.46,4.9,0.26,352136.17,102819.37,Silver,4275527.41
31.0,1452505.99,88417.42,0.21,0.18,2133068.29,1594159.84,680.0,3.79,6.23,8.1,0.44,238777.14,101111.58,Bronze,2630047.85
45.0,1650512.68,51575.86,0.12,0.07,3464989.92,830051.02,690.0,6.88,7.08,8.6,0.21,198913.74,90036.04,Gold,3936648.11
45.0,492440.47,26568.36,0.28,0.36,1250739.09,284255.94,662.0,5.94,5.07,0.0,0.13,283092.55,34663.38,Silver,1653998.77
45.0,903614.85,33114.76,0.26,0.51,2050340.05,959107.33,621.0,6.04,7.68,12.6,0.39,537269.76,73809.55,Silver,2657611.9
65.0,683288.38,38759.71,0.17,0.13,1726459.54,761571.45,650.0,6.95,6.69,6.2,0.17,188171.69,40830.19,Silver,1974000.05
46.0,794732.97,44206.45,0.21,,1613682.24,2179136.35,743.0,6.57,8.58,9.3,0.26,218282.09,96333.35,Gold,1961778.05
51.0,1057223.33,66216.12,0.53,0.3,3005246.05,1708260.18,678.0,5.37,7.94,5.5,0.32,198811.15,151443.28,Bronze,3906161.49
50.0,1176348.13,36428.47,0.09,0.24,3086376.78,1171907.13,653.0,5.82,7.14,10.7,0.4,190110.13,129188.34,Gold,3577542.11
47.0,860526.31,37337.52,0.23,0.38,2502227.04,173311.96,709.0,3.88,6.81,11.6,0.37,488858.47,110676.55,Bronze,3032409.7
,418659.79,19691.96,0.16,0.08,1394295.14,416718.31,775.0,5.24,6.79,10.2,0.52,393321.51,,Silver,1873177.8
48.0,611782.32,25613.07,0.36,0.5,980273.89,387739.8,652.0,5.51,5.53,16.3,0.53,171652.37,56749.57,Silver,1401035.88
32.0,1288191.57,76005.92,0.39,,1997511.71,1465357.83,831.0,6.66,7.25,7.8,0.45,291581.07,84978.44,Gold,2936337.12
38.0,300733.41,19625.87,0.2,,,515631.31,619.0,5.72,5.77,8.4,,236566.89,15290.96,Silver,1413756.72
35.0,1447170.61,77762.18,0.32,0.43,2346744.62,1915523.37,705.0,7.46,6.48,9.3,0.41,136394.99,105894.15,Silver,2875566.16
41.0,1108637.16,47625.85,0.09,0.33,2250231.75,386697.15,576.0,,6.23,12.7,0.39,230941.03,114328.01,Bronze,2704685.98
63.0,1523651.74,91594.03,0.36,0.17,4762142.17,1045100.41,661.0,4.61,6.95,6.8,,63070.16,107225.16,Silver,5766093.0
21.0,831280.34,38010.67,0.04,0.35,1456115.24,307067.0,611.0,6.3,8.2,11.3,0.61,325833.35,64342.46,Bronze,1946507.45
47.0,394584.22,18665.58,0.3,0.17,1073335.21,2217271.72,623.0,5.68,,6.4,0.02,265386.15,51689.74,Gold,1431504.15
24.0,1069065.11,61453.92,0.44,0.13,1298397.01,1146217.45,666.0,6.2,8.79,9.3,0.28,202190.21,159774.67,Silver,2105015.43
35.0,1498554.14,57416.54,0.19,0.51,1574248.96,579647.4,646.0,,6.64,7.0,0.43,134621.12,117375.27,Silver,1928434.73
51.0,1302816.17,35256.72,0.22,0.42,2766910.26,781732.85,590.0,6.03,6.53,9.3,,277337.17,103244.67,Gold,3472671.66
41.0,690432.47,24391.74,,0.4,2727616.6,634888.94,651.0,,5.08,12.1,0.39,366561.21,36295.6,Silver,3164728.04
29.0,931782.29,,0.54,,2913876.68,916347.47,699.0,7.81,6.25,13.1,0.53,247754.41,103166.07,Silver,3655656.39
33.0,727242.7,38475.06,0.32,0.4,2391310.9,698849.67,698.0,4.49,6.32,4.4,0.07,364688.83,73479.09,Silver,2781320.41
47.0,648516.97,23563.68,0.33,0.49,1054402.05,1230727.07,683.0,6.93,5.5,11.4,0.4,100851.66,64694.37,Gold,1207570.12
33.0,1318895.85,70064.41,0.39,0.16,4258340.22,501604.22,690.0,7.39,7.74,,0.23,100599.32,72635.14,Silver,5061998.71
42.0,557455.03,31674.54,0.23,0.54,875252.33,265284.11,596.0,6.08,9.09,10.3,0.39,187917.67,57705.9,Silver,1117951.84
40.0,629463.7,38239.85,0.17,0.55,988467.39,745370.42,669.0,6.61,8.51,6.5,0.26,394213.72,53164.25,Bronze,1153588.1
33.0,578700.17,27709.56,0.27,0.44,,779420.52,626.0,,4.66,1.3,0.06,243235.24,68650.39,Silver,1154203.43
61.0,495861.05,31516.79,0.29,0.29,2198683.68,1367939.81,616.0,5.4,7.33,8.4,0.3,119316.82,31350.51,Silver,2545838.83
46.0,954283.2,55038.79,0.37,0.4,2785163.34,945973.95,631.0,6.51,6.53,0.0,0.1,243255.26,61149.21,Bronze,3413216.76
21.0,1432241.51,57354.48,0.36,0.26,3712353.62,1444669.91,676.0,4.91,,4.7,0.15,376847.82,152963.97,Gold,4648886.01
42.0,835845.73,31591.41,0.06,0.16,,774812.6,690.0,8.17,4.55,7.7,0.31,103200.1,95298.6,Gold,3230512.39
33.0,492796.17,26714.46,0.38,0.38,1642587.0,463888.32,658.0,,7.36,7.5,0.13,152539.06,53884.65,Gold,1892173.25
49.0,1259377.18,38950.01,0.08,0.48,1189259.98,550105.83,705.0,5.27,7.2,0.0,0.11,236442.88,138726.52,Gold,1483440.71
32.0,1766358.68,65508.33,0.22,0.17,3533725.01,243340.78,719.0,5.69,8.73,6.6,0.26,125246.99,263145.22,Silver,4510103.23
39.0,694990.26,31517.73,0.57,0.22,2577984.62,507386.73,711.0,7.38,6.78,3.6,0.11,71182.41,92827.64,Bronze,3196362.19
45.0,743205.85,24085.92,0.33,0.12,1706782.55,812950.72,652.0,4.23,8.6,7.6,0.24,272813.28,81138.6,Silver,2229717.63
49.0,1106170.15,36255.63,0.07,0.06,1478772.28,2782560.57,670.0,5.05,7.65,5.3,0.26,407464.56,62487.46,Gold,1716325.98
28.0,1721832.25,75038.25,0.3,0.16,4449639.98,632311.61,659.0,4.94,,8.9,,408136.63,144407.8,Silver,5619593.09
37.0,731034.83,43808.12,0.19,0.24,2048424.05,812688.22,730.0,6.68,,9.6,0.14,252805.36,67073.73,Silver,2443115.54
35.0,528168.23,35093.54,0.49,0.47,2771258.11,154445.19,594.0,6.85,5.82,10.4,0.49,136590.15,57914.53,Silver,3337506.08
33.0,1158593.68,51832.54,0.35,0.43,1887640.35,797750.74,656.0,5.6,7.7,11.2,0.47,230567.91,166569.57,Bronze,2465541.63
58.0,1238953.06,54002.53,0.21,0.15,,876594.72,690.0,7.87,4.78,9.7,0.43,168680.35,149627.81,Gold,4497452.13
44.0,902210.03,41711.26,0.5,0.33,2946324.45,990501.29,704.0,,9.54,5.8,0.15,207715.5,104317.94,Silver,3457035.76
27.0,719920.98,26166.11,,0.19,1409731.45,903985.74,750.0,5.97,8.0,6.2,0.31,97203.11,,Silver,1687996.38
49.0,1339626.68,44921.45,0.38,0.31,2379911.65,326675.66,675.0,5.58,7.7,5.9,0.11,,132505.22,Gold,3015965.19
61.0,1111659.44,58724.88,0.51,0.06,2314643.79,515375.01,708.0,5.99,6.18,8.0,0.32,113798.5,121619.39,Silver,3110086.08
50.0,661837.83,,0.6,0.24,1845482.27,765149.7,681.0,5.77,5.65,9.6,0.38,241815.76,89817.41,Silver,2530944.45
25.0,917848.79,48300.54,0.4,0.25,1777691.61,602041.3,697.0,6.03,5.02,2.8,0.17,336638.32,128453.19,Silver,2429436.86
35.0,524115.33,27117.95,,0.5,882839.6,556290.14,626.0,4.65,6.91,0.0,0.18,88712.06,65271.89,Silver,1133073.89
53.0,1184115.01,44357.68,0.13,0.51,1530790.47,258446.64,,,6.65,13.9,0.49,86806.17,106061.99,Gold,1863020.84
33.0,810378.43,42884.32,0.27,0.47,1878162.13,945597.51,,6.31,5.89,2.7,0.28,,102352.56,Bronze,2423072.04
44.0,756052.21,34510.07,0.3,0.18,2125073.58,292190.1,667.0,6.62,8.21,0.0,0.26,143304.79,91570.01,Silver,2747262.2
48.0,888242.66,39662.43,0.21,0.52,2640445.62,995228.07,593.0,8.56,8.3,,0.42,263558.77,88054.64,Silver,3032662.97
31.0,914628.38,46223.96,0.09,,2949454.56,340538.21,663.0,4.9,4.0,1.3,0.22,378286.63,136321.97,Bronze,3488171.83
39.0,1287383.04,79907.32,0.19,0.21,2827831.33,507306.51,732.0,3.96,7.65,6.8,0.15,141049.28,135061.88,Silver,3526524.07
21.0,,63646.6,0.17,0.49,3651970.64,839416.45,635.0,5.46,6.81,8.0,0.35,652999.26,60186.85,Silver,4726464.93
30.0,845417.89,50631.7,0.08,0.12,1587601.37,430587.5,708.0,6.37,6.58,18.2,,480563.65,54930.62,Bronze,1961013.73
37.0,1221533.14,33611.59,0.21,0.43,2681369.22,612955.34,669.0,5.5,4.8,8.5,0.33,237755.02,89822.0,Gold,3374598.05
28.0,1056471.29,,0.07,0.3,2067200.78,747004.0,688.0,7.17,6.36,10.1,0.38,226395.93,134779.08,Gold,2480258.45
56.0,758812.65,25930.47,0.3,0.33,,165801.02,611.0,5.75,8.25,8.4,0.21,183327.14,64219.02,Silver,1528055.54
26.0,856203.0,33042.02,,0.51,2394324.27,2723806.95,649.0,5.27,7.82,0.0,0.09,,64356.59,Silver,2600591.57
36.0,848190.8,36694.78,0.21,0.19,1347085.16,741000.56,684.0,7.41,10.83,7.7,0.19,,70884.49,Gold,1750637.75
41.0,1101578.36,54314.13,,0.29,2479366.21,458067.26,663.0,7.08,9.42,11.9,0.35,318935.67,,Silver,3099295.5
54.0,777112.96,38637.99,0.15,0.22,852942.52,354535.45,641.0,7.14,6.9,4.5,0.19,84958.2,48457.64,Gold,1181342.91
26.0,769877.25,49188.28,0.38,,1401409.37,317506.64,680.0,7.82,8.33,6.6,0.26,214802.24,58573.73,Bronze,1837889.35
52.0,1978111.12,115769.86,0.1,0.32,2655057.9,408040.39,706.0,6.17,8.84,2.6,0.07,87203.23,101781.58,Gold,3058351.85
40.0,1310663.74,44045.67,0.44,0.13,,565434.2,679.0,5.18,7.11,14.4,0.53,102738.37,124522.54,Silver,3034956.17
30.0,663915.24,38765.98,0.34,0.32,1462097.39,,666.0,4.37,6.66,,0.39,265760.84,95103.68,Silver,1978379.07
45.0,1130902.38,53305.56,0.01,0.17,2833751.39,453243.2,689.0,6.84,7.4,15.7,0.59,201985.16,117891.98,Silver,3450194.25
42.0,943630.61,42911.94,0.12,0.39,1268819.41,736403.12,661.0,,5.14,0.9,0.08,126364.29,120703.49,Bronze,1678243.17
34.0,,59591.53,0.21,0.5,2239898.45,478557.25,680.0,5.9,4.97,3.0,0.17,353739.78,61959.66,Silver,2816265.56
41.0,950826.2,32439.61,0.33,0.04,1007998.45,143095.76,665.0,6.8,8.05,10.5,0.15,183590.97,133627.04,Gold,1631540.37
36.0,1448453.65,83204.28,,0.62,4385601.33,1248798.05,622.0,6.1,4.02,19.1,0.77,101373.9,184519.86,Bronze,5079049.19
41.0,1033434.4,51614.92,0.33,0.29,2948046.5,762598.22,631.0,6.55,6.16,7.0,0.3,165940.47,145918.18,Bronze,3645507.43
47.0,877923.35,50569.57,0.19,0.76,2731032.11,829080.22,568.0,6.21,4.0,7.3,0.4,408268.14,126853.12,Bronze,3377356.1
56.0,1365493.25,86658.18,0.46,0.42,3478569.54,904239.34,675.0,5.73,7.32,,0.2,315184.21,100810.18,Gold,4314732.36
28.0,988025.77,45309.33,0.29,0.6,2088138.6,,673.0,3.88,6.79,8.9,0.48,111837.73,111485.68,Silver,2347223.2
61.0,944812.22,30736.76,0.03,0.75,1175332.97,2692877.28,613.0,7.04,7.36,12.1,0.46,279984.23,122097.57,Silver,1563902.19
21.0,1020454.92,33906.93,0.29,0.14,1936029.93,1563461.76,665.0,6.45,5.77,14.0,0.22,97451.63,,Silver,2376168.19
38.0,866923.86,,0.02,,,811326.95,662.0,7.52,,7.0,0.05,224751.86,116660.77,Bronze,2845588.44
46.0,903327.85,29162.94,0.15,0.56,2978578.59,,573.0,6.48,7.09,3.4,0.29,234056.74,128684.19,Bronze,3378521.51
43.0,711743.03,45514.19,0.2,0.44,1557647.62,1018742.8,650.0,6.99,5.61,8.0,0.37,118178.59,104540.36,Gold,1928095.86
34.0,666425.18,29571.38,0.4,0.6,1783694.87,295201.42,585.0,5.34,6.08,8.0,0.35,,,Bronze,2138033.7
38.0,603633.13,38673.16,0.45,0.11,2269898.39,440652.96,632.0,7.43,4.72,14.9,0.52,210177.79,54384.22,Bronze,2789347.66
35.0,515739.32,,0.47,0.17,1258948.06,396165.71,680.0,6.66,9.11,15.9,0.67,116951.45,54929.51,Bronze,1529103.54
34.0,633023.67,24180.51,,0.02,2418863.74,773073.78,739.0,5.54,9.68,5.3,0.2,141996.66,60444.38,Gold,2731066.09
48.0,839400.5,42013.37,0.28,0.49,2323556.54,1001130.14,638.0,6.33,5.75,16.7,0.51,268732.65,45601.17,Silver,2763093.9
44.0,937898.56,47467.26,0.07,0.51,1805073.44,2208127.96,722.0,5.99,6.33,15.1,0.5,167955.11,86712.96,Gold,1914956.65
33.0,807445.97,40498.36,0.26,0.19,3065225.75,203805.34,708.0,6.11,,7.5,0.24,206771.86,57776.99,Gold,3663389.27
49.0,350763.91,20221.57,0.16,0.16,1355345.41,781838.53,677.0,6.02,9.48,13.2,0.51,171321.95,40078.33,Gold,1493470.81
43.0,1689569.95,50393.51,0.08,0.34,4421672.62,426689.53,,5.64,4.86,3.1,0.21,218554.11,170108.53,Gold,5131044.03
48.0,1389899.63,71573.96,0.16,0.3,4198157.86,,596.0,5.37,6.42,,0.02,140675.64,72172.48,Bronze,4887050.91
46.0,1075669.68,45688.33,0.15,0.37,,1011942.76,693.0,5.61,8.02,15.7,0.46,154782.78,68745.4,Gold,4384270.51
32.0,1930223.41,102837.67,0.63,0.24,5000000.0,844688.99,721.0,,5.61,8.4,0.41,179110.4,255454.2,Silver,6795849.7
34.0,608775.23,34861.69,0.33,0.16,1985295.02,,662.0,6.81,8.46,8.2,0.26,384019.24,53781.23,Bronze,2527288.46
47.0,,66235.49,0.46,0.41,3194103.09,972356.38,715.0,6.37,7.4,8.1,,109329.12,144705.88,Bronze,4048527.73
46.0,611741.09,24868.28,0.1,0.32,1277456.78,501603.88,637.0,6.66,9.49,3.3,,279048.54,84424.96,Silver,1650142.41
40.0,9901831.6,276049.45,0.35,2.0,2282937.6,341059.38,654.0,6.73,5.64,1.5,0.0,83423.63,69724.91,Silver,2697539.67
41.0,540697.42,37021.67,0.19,0.23,1045095.74,553627.65,,5.62,6.8,2.7,0.16,88452.32,75986.32,Silver,1141090.97
53.0,905305.45,42736.05,0.38,0.35,2007343.85,1019858.07,649.0,6.47,6.7,12.4,0.36,116827.62,104439.64,Silver,2386208.19
34.0,1050331.77,36563.39,0.11,0.17,1642702.9,1624649.11,661.0,6.61,7.03,12.9,0.45,331719.65,,Silver,1935965.35
45.0,845999.38,32024.5,0.2,,1529514.26,2060693.08,628.0,6.35,7.22,16.1,0.44,176324.38,123270.7,Gold,1955045.8
38.0,1197445.41,48288.73,0.3,0.31,3359752.85,2098043.78,655.0,7.8,5.93,0.3,0.09,320344.23,111962.52,Gold,4072861.83
38.0,936360.49,34164.55,0.04,0.17,973321.0,812142.13,725.0,6.12,7.01,6.9,0.4,204347.31,,Silver,1321280.32
51.0,730280.62,35105.74,0.2,0.61,1363004.87,638452.59,706.0,8.66,8.17,12.2,0.6,137915.18,62002.52,Silver,1746820.81
,717425.73,35761.03,0.06,0.05,1671663.53,2341337.54,604.0,5.01,5.94,5.4,0.24,149533.34,51139.73,Silver,1884351.06
48.0,1244837.49,43515.71,0.1,0.32,3186931.58,1033986.31,697.0,5.19,9.67,7.5,,88614.45,133364.23,Bronze,3591327.59
53.0,692908.5,26152.76,0.17,,1306990.23,,614.0,5.09,6.58,8.4,0.29,183642.27,35598.13,Silver,1357340.78
40.0,1297968.92,51585.26,0.32,0.19,1752880.59,,725.0,5.45,7.79,4.9,0.32,218517.57,143140.79,Silver,2483260.31
47.0,1467740.59,82123.03,0.63,0.17,3637361.48,980738.44,718.0,6.77,5.67,4.4,0.27,451809.95,94540.57,Gold,5042521.61
37.0,461697.18,26191.22,0.49,0.47,1389391.81,207573.32,619.0,6.66,4.0,11.0,0.3,191438.75,45076.79,Silver,1771581.39
43.0,1415963.25,85325.22,0.5,0.43,1817662.98,851051.74,636.0,5.94,7.93,2.0,0.05,,107126.52,Gold,2466385.24
39.0,2051986.94,90386.84,0.11,0.42,1260551.41,1028406.14,646.0,6.37,8.31,6.9,0.35,402428.99,114550.24,Gold,1634213.32
41.0,995451.37,38636.91,0.18,0.05,2349581.22,754727.43,727.0,4.55,7.9,6.8,0.34,246685.63,109976.24,Bronze,2941883.39
46.0,1143705.19,41657.63,0.67,0.31,3696342.53,1007061.66,670.0,6.08,9.6,11.0,0.36,522732.67,126135.5,Silver,4734335.65
32.0,1362664.01,70160.72,0.62,0.44,3625966.46,437547.41,623.0,7.43,8.15,13.0,0.21,386501.99,129792.9,Silver,4710145.31
61.0,,39793.11,0.31,0.52,2050925.42,134759.97,628.0,6.48,7.35,8.0,0.32,289782.58,42932.09,Silver,2502414.01
30.0,968072.38,47685.18,0.33,0.21,2078127.17,1305995.99,710.0,7.3,7.46,3.0,0.12,84761.15,66458.42,Bronze,2558443.32
28.0,532038.02,32396.46,0.33,0.19,533816.67,328838.06,719.0,5.58,9.74,2.3,0.22,134445.21,38654.92,Silver,846199.58
,951318.36,52429.49,0.14,0.72,2752776.54,2356958.49,567.0,4.45,7.44,11.0,0.54,159565.86,83769.95,Gold,3184084.28
48.0,1098432.63,37844.31,0.28,0.14,2107058.18,841384.99,695.0,5.97,7.78,3.7,0.16,217767.22,112916.86,Bronze,2791511.91
46.0,1106392.47,61495.96,0.45,0.32,3602023.84,2723080.54,617.0,7.17,9.01,2.1,0.0,118480.32,130877.0,Bronze,4323360.99
46.0,,63560.89,0.19,0.37,1243649.08,363989.4,681.0,6.8,6.77,0.0,0.05,135601.69,71533.77,Gold,1506536.01
40.0,660154.5,30601.12,0.2,0.27,,627843.58,671.0,6.61,,9.1,0.49,131257.29,37922.02,Silver,3054906.46
31.0,,38143.04,0.33,0.27,1494852.21,589600.61,691.0,7.69,7.3,4.1,0.3,160430.6,88758.05,Gold,1924066.58
41.0,1920993.35,90058.84,0.12,0.49,5000000.0,1865667.0,605.0,7.91,5.98,1.3,0.06,,195542.94,Silver,5822243.08
33.0,847476.76,30617.51,,0.54,,532171.73,713.0,6.04,10.0,9.0,0.29,121143.67,51337.47,Bronze,2856354.52
50.0,974971.54,37924.24,0.21,0.06,,709469.77,727.0,5.41,6.39,12.1,0.36,228838.08,106722.64,Silver,1820776.2
39.0,876196.82,36163.18,0.37,0.49,1125822.64,484237.26,652.0,5.11,8.46,8.2,0.09,190490.13,107953.69,Silver,1536943.1
32.0,647890.97,30910.29,0.35,,862835.37,1163545.86,702.0,5.05,6.15,2.3,0.08,260868.13,46270.11,Bronze,979140.38
37.0,1722972.8,51867.62,0.1,0.3,5000000.0,327839.02,744.0,6.66,7.52,1.0,0.07,277552.0,100298.26,Bronze,5776962.86
44.0,728737.95,27454.92,0.43,0.49,1782528.26,1398062.18,633.0,6.34,7.03,2.3,0.19,204037.6,70302.63,Gold,2101692.2
34.0,573340.94,21368.54,0.07,0.21,2138112.36,616021.54,670.0,4.1,7.51,14.3,0.43,118173.69,45234.07,Bronze,2557809.9
32.0,751520.62,31418.75,0.27,0.16,,1019483.13,716.0,4.36,7.83,14.3,0.34,107019.31,100537.95,Silver,3169384.19
42.0,404120.2,29095.38,0.43,0.17,,,610.0,5.8,6.0,5.5,0.28,286811.96,38130.35,Bronze,2059108.35
42.0,693589.15,25012.49,0.06,0.17,1923515.97,483671.32,661.0,5.79,,11.5,0.54,194337.4,51821.01,Gold,2258913.93
35.0,611028.33,29338.49,0.04,0.12,2201253.65,570147.69,659.0,,4.0,16.3,0.42,247945.41,61431.86,Silver,2706671.49
35.0,1152128.31,46387.05,0.25,0.22,1439986.29,1058948.81,688.0,6.97,8.58,7.5,0.32,90353.66,105216.36,Gold,1886401.56
42.0,687477.48,38526.95,0.18,0.15,2440080.45,302531.38,639.0,6.93,7.4,7.1,0.16,112825.75,,Gold,2886396.26
26.0,1283718.65,39549.28,0.39,0.17,2537053.54,450430.51,645.0,,8.99,8.6,0.24,,170040.17,Gold,3603963.27
26.0,15746500.9,264062.94999999995,0.33,2.0,3966691.11,3260940.3,739.0,6.44,6.14,10.0,0.34,474620.63,104001.74,Silver,4720826.26
33.0,1230117.41,,0.31,,3536693.46,968948.79,740.0,7.22,10.0,8.1,0.12,377534.58,164716.94,Silver,4523539.11
38.0,825706.55,50342.64,0.25,0.13,3796788.2,856780.36,749.0,6.81,,11.5,0.3,163318.23,95305.86,Silver,4543758.26
43.0,952262.34,46244.93,0.37,0.29,2307933.51,1046815.26,601.0,7.68,4.45,4.8,0.36,132873.52,112608.73,Gold,2848382.3
55.0,489018.73,,,0.28,939220.61,202375.6,664.0,5.57,6.52,7.3,0.23,148154.17,32491.64,Silver,1165081.79
,853105.32,36294.03,0.09,0.12,2662402.48,576320.89,681.0,5.02,6.87,14.7,0.45,57538.65,106130.68,Silver,2898835.01
38.0,637924.14,24796.78,0.19,0.35,916941.36,868924.14,737.0,6.15,8.45,7.9,0.2,224862.37,33812.65,Silver,1191316.06
40.0,1188117.4,,0.3,0.23,2980857.06,434283.78,699.0,6.34,8.05,1.0,0.31,409237.1,135015.78,Gold,3853608.23
30.0,2518693.82,136005.31,0.38,0.45,5000000.0,618562.03,595.0,6.71,4.88,1.4,0.1,136781.83,187926.04,Gold,6085921.28
,1099184.06,51740.32,0.13,0.11,3355057.66,1200755.32,711.0,5.23,7.84,12.6,0.55,180122.74,77033.77,Gold,3706247.23
37.0,405831.77,23020.77,0.11,0.1,770766.13,816000.9,656.0,6.14,6.15,7.7,0.32,131394.29,32717.47,Bronze,878011.18
43.0,778915.59,35115.26,0.1,0.06,1526095.94,219908.88,689.0,6.46,7.42,3.1,0.23,197807.41,113797.81,Silver,1776059.68
32.0,945194.88,45362.52,0.4,,2707306.25,488719.8,,5.08,7.32,11.7,0.37,87398.3,,Gold,3357966.13
45.0,,32842.31,0.3,0.59,3169989.76,573219.19,,6.26,7.9,7.1,0.28,247824.69,98753.49,Gold,3736608.74
55.0,671873.12,28265.96,0.37,0.26,1770459.63,459995.99,697.0,6.08,7.26,22.9,0.64,426591.18,82735.6,Silver,2410547.18
39.0,992782.35,52310.86,0.23,0.24,1468480.71,,688.0,6.49,9.67,5.4,0.13,88625.69,,Silver,1931660.83
44.0,547517.5,18218.66,0.29,0.18,774953.57,1433318.14,659.0,5.99,8.98,12.3,,144781.75,39096.72,Bronze,1010469.42
47.0,616729.97,31336.69,0.38,0.18,1511509.13,432692.58,684.0,6.0,9.35,7.1,0.33,142285.65,51598.38,Silver,2039133.95
36.0,1165276.67,64773.72,0.52,0.14,1406549.34,511751.9,643.0,6.9,7.37,11.5,0.4,260254.7,150552.35,Bronze,2195611.24
42.0,599520.08,23967.97,0.32,0.17,1996146.07,893267.94,673.0,,5.12,7.8,0.33,219443.97,,Gold,2414239.89
40.0,1116193.38,69641.9,0.25,0.09,2838845.5,1009889.93,665.0,6.99,5.89,0.0,0.2,93113.76,124502.05,Gold,3237146.35
41.0,520405.99,18968.89,0.15,0.32,1165406.19,1100159.42,571.0,5.86,7.0,0.0,0.27,467926.96,75223.96,Gold,1540215.98
32.0,1823157.41,72845.88,0.28,0.16,4147092.27,,691.0,,7.7,10.9,0.37,254430.96,215360.4,Silver,5169016.76
40.0,660295.06,35955.62,0.15,0.24,919429.74,613732.27,644.0,5.49,7.03,4.1,0.29,239919.46,38494.69,Silver,1106903.38
45.0,822976.9,44028.2,0.07,0.38,2047967.55,491794.72,614.0,6.63,5.88,5.7,0.09,96163.36,49540.04,Silver,2366389.66
55.0,1027249.45,32676.72,,0.05,2795211.81,666418.55,746.0,6.25,8.03,12.4,0.29,124111.37,81307.49,Silver,3380959.19
50.0,717845.8,41622.94,0.11,0.11,763717.5,404141.23,652.0,5.66,4.97,14.9,0.32,255250.88,104138.07,Silver,1366107.45
62.0,953135.57,59065.09,0.13,0.08,3058289.64,739908.59,746.0,3.94,7.81,7.0,0.35,275935.47,54087.33,Silver,3573474.71
32.0,1132901.65,40317.07,0.21,0.7,1736288.71,763421.46,602.0,5.32,,12.3,0.42,169861.05,132394.74,Silver,2221527.26
49.0,1321655.05,82485.16,0.14,0.15,1216751.1,979158.02,618.0,7.45,7.82,3.1,0.27,171854.98,157644.84,Silver,1828307.46
42.0,1235206.87,58867.62,0.38,0.22,2297820.32,939184.97,674.0,3.8,,10.6,0.45,83107.6,,Silver,2974089.68
62.0,840225.73,50509.41,0.13,0.32,1730181.05,1309498.7,681.0,6.91,7.23,5.8,0.27,286767.69,51580.27,Silver,1947783.3
32.0,848730.8,28890.93,0.19,0.2,2260525.44,529175.06,706.0,5.97,6.37,4.1,0.11,395023.32,52217.07,Bronze,2925801.48
32.0,,125889.45,0.15,0.4,5000000.0,1054999.55,631.0,5.39,7.36,6.6,0.33,240331.38,268078.77,Gold,5895908.2
34.0,1315997.73,38803.85,0.3,0.49,2642034.76,491638.69,619.0,5.86,6.54,9.1,0.24,129427.97,166677.23,Silver,3425785.85
21.0,622451.24,40213.35,0.35,0.16,1937488.32,235309.41,,6.78,7.42,3.5,0.18,187483.27,87838.61,Silver,2464331.76
35.0,936725.26,48108.82,0.36,0.65,2686171.47,339856.63,649.0,5.62,8.15,5.5,0.3,214660.42,108926.94,Silver,3294082.14
32.0,7870859.9,159289.2,0.16,2.0,,821999.44,709.0,6.06,5.78,6.0,0.35,265070.59,,Gold,1308610.69
42.0,852574.9,32937.68,0.23,0.14,1495324.17,899411.99,646.0,6.54,8.87,12.4,0.32,204407.51,121891.34,Silver,1896046.6
